Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 452668000 "," 272069000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -233031000 "," -148107000 "
3.03," Resultado Bruto "," 219637000 "," 123962000 "
3.04," Despesas/Receitas Operacionais "," -8806000 "," -74341000 "
3.04.01," Despesas com Vendas "," -22806000 "," -25020000 "
3.04.02," Despesas Gerais e Administrativas "," -6340000 "," -5525000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," 11913000 "," -40524000 "
3.04.05.01," Tributárias "," -2180000 "," -4971000 "
3.04.05.02," Custo com Pesquisa e Desenvolvimento Tecnológico "," -3033000 "," -1819000 "
3.04.05.03," Custo Exploratório para Extração de Petróleo e Gás "," -3731000 "," -4170000 "
3.04.05.04," Participação nos Lucros ou Resultados "," "," "
3.04.05.05," Outras Despesas/Receitas Operacionais Líquidas "," 3967000 "," 4695000 "
3.04.05.06," Baixa de gastos adicionais capitalizados indevidamente "," "," "
3.04.05.07," Reversão/Perdas no valor de recuperação de ativos - Impairment "," 16890000 "," -34259000 "
3.04.06," Resultado de Equivalência Patrimonial "," 8427000 "," -3272000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 210831000 "," 49621000 "
3.06," Resultado Financeiro "," -59256000 "," -49584000 "
3.06.01," Receitas Financeiras "," 4458000 "," 2821000 "
3.06.01.01," Receitas Financeiras "," 4458000 "," 2821000 "
3.06.01.02," Variações Monetárias e Cambiais Líquidas "," "," "
3.06.02," Despesas Financeiras "," -63714000 "," -52405000 "
3.06.02.01," Despesas Financeiras "," -27636000 "," -31108000 "
3.06.02.02," Variações Monetárias e Cambiais Líquidas "," -36078000 "," -21297000 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 151575000 "," 37000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -44311000 "," 6209000 "
3.08.01," Corrente "," -22667000 "," -2731000 "
3.08.02," Diferido "," -21644000 "," 8940000 "
3.09," Resultado Líquido das Operações Continuadas "," 107264000 "," 6246000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 107264000 "," 6246000 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 106668000 "," 7108000 "
3.11.02," Atribuído a Sócios Não Controladores "," 596000 "," -862000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 8.18000 "," 0.54000 "
3.99.01.02," PN "," 8.18000 "," 0.54000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 8.18000 "," 0.54000 "
3.99.02.02," PN "," 8.18000 "," 0.54000 "
