Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 951540 "," 907244 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -528598 "," -511999 "
3.03," Resultado Bruto "," 422942 "," 395245 "
3.04," Despesas/Receitas Operacionais "," -250370 "," -217126 "
3.04.01," Despesas com Vendas "," -106353 "," -83799 "
3.04.02," Despesas Gerais e Administrativas "," -182932 "," -188862 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 39127 "," 55646 "
3.04.05," Outras Despesas Operacionais "," -212 "," -111 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 172572 "," 178119 "
3.06," Resultado Financeiro "," -73076 "," -21865 "
3.06.01," Receitas Financeiras "," 27654 "," 57610 "
3.06.02," Despesas Financeiras "," -100730 "," -79475 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 99496 "," 156254 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -6400 "," -9340 "
3.08.01," Corrente "," -6683 "," -10749 "
3.08.02," Diferido "," 283 "," 1409 "
3.09," Resultado Líquido das Operações Continuadas "," 93096 "," 146914 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 93096 "," 146914 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.20543 "," 0.32418 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.20543 "," 0.32418 "
